tipo,nome,municipio,uf,endereco,horario,latitude,longitude,regiao,fonte
Promotoria de Justiça,Promotoria De Justiça De Tefé,Tefé,AM,"Rua Daniel Sevalho, 215 – Centro",08h-14h,-3.3456894656868266,-64.70655777160557,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Tonantins,Tonantins,AM,(Termo de Santo Antonio do Iça),08h-14h,-2.861585974147738,-67.77505678019025,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Uarini,Uarini,AM,"Rua Espírito Santo, nº 286 – Centro",08h-14h,-2.9842509670548942,-65.15539981750734,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Urucará,Urucará,AM,"Rua Coronel Pinto, S/N – Bairro Aparecida",08h-14h,-2.5366066340809375,-57.75696693062559,Interior,Planilha unidades enfrentamento AM
Promotoria de Justiça,Promotoria De Justiça De Urucurituba,Urucurituba,AM,"Av. Amazonas, n° 14, Bairro São Lázaro",08h-14h,-3.131559089766528,-58.15129436848503,Interior,Planilha unidades enfrentamento AM
Delegacia Especializada,Delegacia Especializada Em Crimes Contra A Mulher – Parque 10,Manaus,AM,"Av. Mário Ypiranga Monteiro, 3395 – Parque 10",24h,"-3,0958","-60,0253",Capital,Planilha unidades enfrentamento AM
Delegacia Especializada,Delegacia Especializada Em Crimes Contra A Mulher – Cidade De Deus,Manaus,AM,Rua Santa Ana – Cidade de Deus,08h–17h,"-3,1309","-60,0147",Capital,Planilha unidades enfrentamento AM
Delegacia Especializada,Delegacia Especializada Em Crimes Contra A Mulher – Zona Sul,Manaus,AM,"Rua Des. Felismino Soares, 155 – Colônia Oliveira Machado",08h–17h,"-3,0217","-59,9486",Capital,Planilha unidades enfrentamento AM
Programa PMAM,Ronda Maria Da Penha – Manaus,Manaus,AM,"Av. Sávio Belota, 145 – Novo Aleixo",24h,-3.0445052985408476,-59.958970355157405,Capital,Planilha unidades enfrentamento AM
Programa PMAM,Ronda Maria Da Penha – Parintins,Parintins,AM,Sede da CICOM local,24h,-2.6340867926589833,-56.73622075168841,Interior,Planilha unidades enfrentamento AM
Programa PMAM,Ronda Maria Da Penha – Tefé,Tefé,AM,Sede da CICOM local,24h,-3.3483499785541153,-64.70853664212146,Interior,Planilha unidades enfrentamento AM
Programa PMAM,Ronda Maria Da Penha – Manacapuru,Manacapuru,AM,Sede da CICOM local,24h,-3.295560030751039,-60.628716406922045,Interior,Planilha unidades enfrentamento AM
Programa PMAM,Ronda Maria Da Penha – Itacoatiara,Itacoatiara,AM,Sede da CICOM local,24h,-3.139653553668959,-58.43955255565131,Interior,Planilha unidades enfrentamento AM
Programa PMAM,Ronda Maria Da Penha – Tabatinga,Tabatinga,AM,Sede da CICOM local,24h,-4.231606192698097,-69.93700990194523,Interior,Planilha unidades enfrentamento AM
Programa PMAM,Ronda Maria Da Penha – Careiro Castanho,Careiro Castanho,AM,Sede da CICOM local,24h,-3.8223285725557803,-60.3654255038346,Interior,Planilha unidades enfrentamento AM
Programa PMAM,Ronda Maria Da Penha – Iranduba,Iranduba,AM,Sede da CICOM local,24h,-3.278887911807854,-60.18500565476917,Interior,Planilha unidades enfrentamento AM
Programa PMAM,Ronda Maria Da Penha – Coari,Coari,AM,Sede da CICOM local,24h,-4.092520638708969,-63.149327594118205,Interior,Planilha unidades enfrentamento AM
Programa PMAM,Ronda Maria Da Penha – Guajará,Guajará,AM,Sede da CICOM local,24h,-7.545872647954789,-72.58073603452426,Interior,Planilha unidades enfrentamento AM
Centro de Referência (CREAM),Centro Estadual De Referência E Apoio À Mulher,Manaus,AM,"Av. Presidente Kennedy, 399 – Educandos",08h-17h,-3.1418223626129267,-60.00508177362784,Capital,Planilha unidades enfrentamento AM
SAPEM,Serviço De Apoio Emergencial À Mulher – Norte,Manaus,AM,Av. Nossa Senhora da Conceição – Cidade de Deus,08h-17h,-3.017264898376726,-59.93874303094101,Capital,Planilha unidades enfrentamento AM
SAPEM,Serviço De Apoio Emergencial À Mulher – Leste,Manaus,AM,Rua dos Maracajás – São José Operário,08h-17h,-3.072691571053242,-59.9480187251746,Capital,Planilha unidades enfrentamento AM
SAPEM,Serviço De Apoio Emergencial À Mulher – Centro-Sul,Manaus,AM,Av. Mário Ypiranga – Parque Dez de Novembro,08h-17h,-3.0881302564983986,-60.018760007957084,Capital,Planilha unidades enfrentamento AM
SAPEM,Serviço De Apoio Emergencial À Mulher – Sul,Manaus,AM,R. Des. Felismino Soares – Colônia Oliveira Machado,08h-17h,-3.14752411873372,-60.00547076289075,Capital,Planilha unidades enfrentamento AM
SAPEM,Serviço De Apoio Emergencial À Mulher – Oeste,Manaus,AM,Av. Constantino Nery – Compensa,08h-17h,-3.1034874075255345,-60.063388774565965,Capital,Planilha unidades enfrentamento AM
SAPEM,Serviço De Apoio Emergencial À Mulher – Centro-Oeste,Manaus,AM,"Rua Acopiara, 134 – Redenção (anexo ao 17º DIP) Diariomunicipalaam",08h-17h,-3.0529231724442365,-60.03992197192487,Capital,Planilha unidades enfrentamento AM
SAMIC,"Serviço De Apoio À Mulher, Idoso E Criança",Itacoatiara,AM,"Rua Eduardo Ribeiro, s/n – Jauary II, (anexo a Delegacia Especializada de Polícia)",08h-17h,-3.144618709369211,-58.435586187353714,Interior,Planilha unidades enfrentamento AM
SAMIC,"Serviço De Apoio À Mulher, Idoso E Criança",Maués,AM,Av. Rui Barbosa s/n – Centro,08h-17h,-3.3937176914039338,-57.717051749275676,Interior,Planilha unidades enfrentamento AM
SAMIC,"Serviço De Apoio À Mulher, Idoso E Criança",Tefé,AM,"Estrada do aeroporto, N° 1532 – São José (no interior da 5° Delegacia Especializada de Polícia)",08h-17h,-3.3530856348504243,-64.7163989296919,Interior,Planilha unidades enfrentamento AM
SAMIC,"Serviço De Apoio À Mulher, Idoso E Criança",Parintins,AM,Rua Irmã Cristine s/n – Itaúna II (anexo a Delegacia Especializada de Polícia),08h-17h,-2.649022743767217,-56.74286808284645,Interior,Planilha unidades enfrentamento AM
SAMIC,"Serviço De Apoio À Mulher, Idoso E Criança",Tabatinga,AM,"Rua Manoel Tananta, N° 70 Santa Rosa (anexo a Delegacia Especializada de Polícia",08h-17h,-4.226248939612583,-69.9560622915593,Interior,Planilha unidades enfrentamento AM
SAMIC,"Serviço De Apoio À Mulher, Idoso E Criança",Humaitá,AM,Rua Vilas Boas N° 1086 – São José (anexo a Delegacia Especializada de Polícia),08h-17h,-7.516818154690733,-63.029785990560185,Interior,Planilha unidades enfrentamento AM
SAMIC,"Serviço De Apoio À Mulher, Idoso E Criança",Barcelos,AM,"Rua Efigênio Sales, s/n – São Sebastião. Dentro do 75° DIP. Barcelos- AM",08h-17h,-0.97392730485914,-62.929070167435746,Interior,Planilha unidades enfrentamento AM
SAMIC,"Serviço De Apoio À Mulher, Idoso E Criança",Coari,AM,"Estrada do Itapéua, nº 580 – Bairro Itamarati",08h-17h,-4.096555288328824,-63.136977520646205,Interior,Planilha unidades enfrentamento AM
SAMIC,"Serviço De Apoio À Mulher, Idoso E Criança",Tapauá,AM,Integrada à delegacia Interativa de polícia (DIP) do município.,08h-17h,-5.625041814224037,-63.18902511509537,Interior,Planilha unidades enfrentamento AM
NUDEM,Núcleo Especializado De Promoção E Defesa Dos Direitos Da Mulher,Manaus,AM,"Av. André Araújo, 7 - Adrianópolis",08h-14h,-3.1073252182734583,-60.00987231732684,Capital,Planilha unidades enfrentamento AM
Delegacia Especializada,Delegacia Especializada De Polícia De Parintins,Parintins,AM,"Rua Irmã Cristine, s/n – Itaúna II",08h–14h,-2.6289,-56.7350,Interior,Planilha unidades enfrentamento AM
Delegacia Especializada,Delegacia Especializada De Polícia De Coari,Coari,AM,"Estrada Coari–Itapeua, s/n – Itamarati",08h–14h,-4.0850,-63.1410,Interior,Planilha unidades enfrentamento AM
Delegacia Especializada,Delegacia Especializada De Polícia De Tefé,Tefé,AM,"Estrada do Aeroporto, nº 1.532 – São José",08h–14h,-3.3540,-64.7100,Interior,Planilha unidades enfrentamento AM
Delegacia Especializada,Delegacia Especializada De Polícia De Tabatinga,Tabatinga,AM,"Rua Manoel Tananta, nº 70 – Santa Rosa",08h–14h,-4.2520,-69.9380,Interior,Planilha unidades enfrentamento AM
Delegacia Especializada,Delegacia Especializada De Polícia De Humaitá,Humaitá,AM,"Rua Vilas Boas, nº 1.086 – Centro",08h–14h,-7.5060,-63.0200,Interior,Planilha unidades enfrentamento AM
Delegacia Especializada,Delegacia Especializada De Polícia De São Gabriel Da Cachoeira,São Gabriel Da Cachoeira,AM,"Estrada Xidá, s/n – Nossa Senhora de Fátima",08h–14h,-0.1190,-67.0850,Interior,Planilha unidades enfrentamento AM
Delegacia Especializada,Delegacia Especializada De Polícia De Eirunepé,Eirunepé,AM,"Rua Rio Juruá, s/n – Centro",08h–14h,-6.6600,-69.8730,Interior,Planilha unidades enfrentamento AM
