tipo,nome,identificador,uf,municipio,latitude,longitude
CRAS,CRAS Getúlio Vargas,,AM,Borba,-4.393478,-59.594772
CRAS,CRAS Platô do Piquiá,,AM,Boca do Acre,-8.755349,-67.393087
CRAS,CRAS 7 de Setembro,,AM,Boca do Acre,-8.755349,-67.393087
CRAS,CRAS Castelo Branco,,AM,Boa Vista do Ramos,-2.971693,-57.586982
CRAS,CRAS Frei Ludovico,,AM,Benjamin Constant,-4.378275,-70.02906
CRAS,CRAS Boa Vista,,AM,Barreirinha,-2.798863,-57.067897
CRAS,CRAS Tenreiro Aranha,,AM,Barcelos,-0.972921,-62.925635
CRAS,CRAS 1º de Maio,,AM,Atalaia do Norte,-4.365855,-70.190874
CRAS,CRAS 31 de Março,,AM,Anori,-3.743525,-61.66052
CRAS,CRAS Raimundo Pereira,,AM,Anamã,-3.579736,-61.405
CRAS,CRAS Beira Rio,,AM,Amaturá,-3.364051,-68.199469
CRAS,CRAS João Paulo II,,AM,Alvarães,-3.215579,-64.814833
CRAS,CRAS Donga Michiles,,AM,Maués,-3.37958,-57.719607
CRAS,CRAS Quintino Bocaiuva,,AM,Maués,-3.37958,-57.719607
CRAS,CRAS Getúlio Vargas,,AM,Autazes,-3.583328,-59.130152
CRAS,CRAS Amazonas,,AM,Apuí,-7.194019,-59.883019
CRAS,CRAS Autazes,,AM,Autazes,-3.583328,-59.130152
CRAS,CRAS Braga Mendes,,AM,Manaus,-3.131633,-59.982504
CRAS,CRAS Compensa II,,AM,Manaus,-3.131633,-59.982504
CRAS,CRAS Compensa I,,AM,Manaus,-3.131633,-59.982504
CRAS,CRAS Prourbis,,AM,Manaus,-3.131633,-59.982504
CRAS,CRAS Japiim,,AM,Manaus,-3.131633,-59.982504
CRAS,CRAS Crespo II,,AM,Manaus,-3.131633,-59.982504
CRAS,CRAS Crespo I,,AM,Manaus,-3.131633,-59.982504
CRAS,CRAS Cachoeirinha,,AM,Manaus,-3.131633,-59.982504
CRAS,CRAS Betânia,,AM,Manaus,-3.131633,-59.982504
CRAS,CRAS Alvorada III,,AM,Manaus,-3.131633,-59.982504
CRAS,CRAS Alvorada I,,AM,Manaus,-3.131633,-59.982504
CRAS,CRAS Alfredo Nascimento,,AM,Manaus,-3.131633,-59.982504
CRAS,CRAS Terra Nova,,AM,Manaus,-3.131633,-59.982504
CRAS,CRAS Cidade Nova,,AM,Manaus,-3.131633,-59.982504
CRAS,CRAS Jorge Teixeira,,AM,Manaus,-3.131633,-59.982504
